Gene stable ID,Gene name
ENSG00000169288,MRPL1
ENSG00000159111,MRPL10
ENSG00000174547,MRPL11
ENSG00000262814,MRPL12
ENSG00000172172,MRPL13
ENSG00000180992,MRPL14
ENSG00000137547,MRPL15
ENSG00000166902,MRPL16
ENSG00000158042,MRPL17
ENSG00000112110,MRPL18
ENSG00000115364,MRPL19
ENSG00000112651,MRPL2
ENSG00000242485,MRPL20
ENSG00000197345,MRPL21
ENSG00000082515,MRPL22
ENSG00000214026,MRPL23
ENSG00000226416,MRPL23-AS1
ENSG00000143314,MRPL24
ENSG00000108826,MRPL27
ENSG00000086504,MRPL28
ENSG00000114686,MRPL3
ENSG00000185414,MRPL30
ENSG00000106591,MRPL32
ENSG00000243147,MRPL33
ENSG00000130312,MRPL34
ENSG00000132313,MRPL35
ENSG00000171421,MRPL36
ENSG00000116221,MRPL37
ENSG00000204316,MRPL38
ENSG00000154719,MRPL39
ENSG00000105364,MRPL4
ENSG00000185608,MRPL40
ENSG00000182154,MRPL41
ENSG00000198015,MRPL42
ENSG00000055950,MRPL43
ENSG00000135900,MRPL44
ENSG00000278845,MRPL45
ENSG00000259494,MRPL46
ENSG00000136522,MRPL47
ENSG00000175581,MRPL48
ENSG00000149792,MRPL49
ENSG00000136897,MRPL50
ENSG00000111639,MRPL51
ENSG00000172590,MRPL52
ENSG00000204822,MRPL53
ENSG00000183617,MRPL54
ENSG00000162910,MRPL55
ENSG00000173141,MRPL57
ENSG00000167862,MRPL58
ENSG00000143436,MRPL9
ENSG00000048544,MRPS10
ENSG00000181991,MRPS11
ENSG00000128626,MRPS12
ENSG00000120333,MRPS14
ENSG00000116898,MRPS15
ENSG00000182180,MRPS16
ENSG00000239789,MRPS17
ENSG00000096080,MRPS18A
ENSG00000204568,MRPS18B
ENSG00000163319,MRPS18C
ENSG00000122140,MRPS2
ENSG00000266472,MRPS21
ENSG00000175110,MRPS22
ENSG00000181610,MRPS23
ENSG00000062582,MRPS24
ENSG00000131368,MRPS25
ENSG00000125901,MRPS26
ENSG00000113048,MRPS27
ENSG00000147586,MRPS28
ENSG00000112996,MRPS30
ENSG00000251141,MRPS30-DT
ENSG00000102738,MRPS31
ENSG00000090263,MRPS33
ENSG00000074071,MRPS34
ENSG00000061794,MRPS35
ENSG00000134056,MRPS36
ENSG00000144029,MRPS5
ENSG00000243927,MRPS6
ENSG00000125445,MRPS7
ENSG00000135972,MRPS9
ENSG00000147403,RPL10
ENSG00000198755,RPL10A
ENSG00000165496,RPL10L
ENSG00000142676,RPL11
ENSG00000197958,RPL12
ENSG00000167526,RPL13
ENSG00000142541,RPL13A
ENSG00000188846,RPL14
ENSG00000174748,RPL15
ENSG00000265681,RPL17
ENSG00000215472,RPL17-C18orf32
ENSG00000063177,RPL18
ENSG00000105640,RPL18A
ENSG00000108298,RPL19
ENSG00000122026,RPL21
ENSG00000116251,RPL22
ENSG00000163584,RPL22L1
ENSG00000125691,RPL23
ENSG00000198242,RPL23A
ENSG00000114391,RPL24
ENSG00000161970,RPL26
ENSG00000037241,RPL26L1
ENSG00000131469,RPL27
ENSG00000166441,RPL27A
ENSG00000108107,RPL28
ENSG00000162244,RPL29
ENSG00000100316,RPL3
ENSG00000156482,RPL30
ENSG00000071082,RPL31
ENSG00000144713,RPL32
ENSG00000109475,RPL34
ENSG00000234492,RPL34-AS1
ENSG00000136942,RPL35
ENSG00000182899,RPL35A
ENSG00000130255,RPL36
ENSG00000241343,RPL36A
ENSG00000257529,RPL36A-HNRNPH2
ENSG00000165502,RPL36AL
ENSG00000145592,RPL37
ENSG00000197756,RPL37A
ENSG00000172809,RPL38
ENSG00000198918,RPL39
ENSG00000163923,RPL39L
ENSG00000140986,RPL3L
ENSG00000174444,RPL4
ENSG00000229117,RPL41
ENSG00000122406,RPL5
ENSG00000089009,RPL6
ENSG00000147604,RPL7
ENSG00000148303,RPL7A
ENSG00000146223,RPL7L1
ENSG00000161016,RPL8
ENSG00000163682,RPL9
ENSG00000089157,RPLP0
ENSG00000137818,RPLP1
ENSG00000177600,RPLP2
ENSG00000124614,RPS10
ENSG00000270800,RPS10-NUDT3
ENSG00000142534,RPS11
ENSG00000112306,RPS12
ENSG00000110700,RPS13
ENSG00000164587,RPS14
ENSG00000115268,RPS15
ENSG00000134419,RPS15A
ENSG00000105193,RPS16
ENSG00000182774,RPS17
ENSG00000231500,RPS18
ENSG00000105372,RPS19
ENSG00000187051,RPS19BP1
ENSG00000140988,RPS2
ENSG00000008988,RPS20
ENSG00000171858,RPS21
ENSG00000186468,RPS23
ENSG00000138326,RPS24
ENSG00000118181,RPS25
ENSG00000197728,RPS26
ENSG00000177954,RPS27
ENSG00000143947,RPS27A
ENSG00000185088,RPS27L
ENSG00000233927,RPS28
ENSG00000213741,RPS29
ENSG00000149273,RPS3
ENSG00000145425,RPS3A
ENSG00000198034,RPS4X
ENSG00000129824,RPS4Y1
ENSG00000280969,RPS4Y2
ENSG00000083845,RPS5
ENSG00000137154,RPS6
ENSG00000117676,RPS6KA1
ENSG00000071242,RPS6KA2
ENSG00000231654,RPS6KA2-AS1
ENSG00000177189,RPS6KA3
ENSG00000162302,RPS6KA4
ENSG00000100784,RPS6KA5
ENSG00000072133,RPS6KA6
ENSG00000108443,RPS6KB1
ENSG00000175634,RPS6KB2
ENSG00000255949,RPS6KB2-AS1
ENSG00000136643,RPS6KC1
ENSG00000198208,RPS6KL1
ENSG00000171863,RPS7
ENSG00000142937,RPS8
ENSG00000170889,RPS9
ENSG00000168028,RPSA
